Age,Location(City),  What is your preferred taste for a smoothie ?,"  How likely are you to try a savoury or umami smoothie flavor, excluding sweet options?  ","  On a scale of 1 to 10, how sweet do you prefer your smoothie to be? ","  For a savoury smoothie, how spicy do you prefer your smoothie to be on a scale of 1 to 10?",  What is your preferred texture/mouthfeel for a smoothie?(Select all that apply),"  On a scale of 1 to 5, how would you describe your preferred viscosity for a smoothie?  ",  What is your preferred flavor for a smoothie? (Select all that apply)  ,  What is your preferred price range for a smoothie?  ,"  How likely are you to try new smoothie flavors that are healthy, filling, and free from preservatives if they were launched in the market?  "
18-25,Pune ,Sweet,3,6,1,"Thick, Smooth",4: Thick (like yogurt),"Fruity, Berries, Chocolate, Pina Colada, Green veggies",200-250 INR,Likely
18-25,Pune ,Sweet,1,5,1,"Thick, Smooth",3: Medium (like a milkshake),"Fruity, Berries, Chocolate",200-250 INR,Neutral
18-25,Trivandrum ,Sweet,2,5,5,Smooth,3: Medium (like a milkshake),"Berries, Chocolate, Pina Colada",150-200 INR,Likely
18-25,Kolkata ,Savoury,3,2,1,Smooth,2: Thin (like fruit juice),"Fruity, Chocolate",200-250 INR,Neutral
18-25,Kolkata,Sweet,3,7,3,Smooth,2: Thin (like fruit juice),"Fruity, Berries, Chocolate, Pina Colada",150-200 INR,Neutral
18-25,Kolkata,Sweet,3,6,3,Smooth,5: Very thick (like a frozen smoothie you eat with a spoon),Fruity,200-250 INR,Likely
18-25,Pune,Sweet,2,6,3,"Thick, Smooth",3: Medium (like a milkshake),"Fruity, Chocolate, Pina Colada",250-300 INR,Very Likely
18-25,Pune,Sweet,3,7,4,Thick,3: Medium (like a milkshake),"Fruity, Chocolate",150-200 INR,Likely
36-45,Surat,Sweet,2,6,4,Thick,4: Thick (like yogurt),"Fruity, Berries, Chocolate, Green veggies",300-350 INR,Very Likely
18-25,Pune,Savoury,4,4,3,Thick,4: Thick (like yogurt),"Fruity, Chocolate",150-200 INR,Likely
18-25,Pune,Sweet,4,4,5,Thick,4: Thick (like yogurt),"Fruity, Chocolate",250-300 INR,Very Likely
36-45,Pune,Sweet,1,2,3,Smooth,3: Medium (like a milkshake),"Pina Colada, Green veggies",150-200 INR,Neutral
26-35,Surat,Sweet,3,3,4,Grainy,3: Medium (like a milkshake),"Fruity, Berries, Chocolate, Green veggies",200-250 INR,Likely
18-25,Pune,Sweet,4,4,4,Smooth,3: Medium (like a milkshake),Chocolate,250-300 INR,Likely
18-25,Pune ,Savoury,3,6,2,"Grainy, Gummy",3: Medium (like a milkshake),Berries,150-200 INR,Likely
18-25,Pune ,Sweet,1,7,4,"Grainy, Thick",5: Very thick (like a frozen smoothie you eat with a spoon),"Berries, Chocolate",150-200 INR,Likely
18-25,Sangamner,Sweet,4,5,5,Smooth,3: Medium (like a milkshake),Chocolate,200-250 INR,Likely
Under 18,Bangladesh ,Savoury,1,2,3,Thick,2: Thin (like fruit juice),Fruity,350-400 INR,Likely
18-25,Pune,Sweet,3,7,4,Smooth,3: Medium (like a milkshake),"Fruity, Berries",150-200 INR,Very Likely
18-25,Nasik ,Sweet,3,5,1,"Thick, Smooth",3: Medium (like a milkshake),"Berries, Chocolate, Pina Colada",150-200 INR,Very Likely
26-35,Mumbai ,Sweet,1,4,1,"Thick, Smooth",4: Thick (like yogurt),"Fruity, Berries, Chocolate, Green veggies",150-200 INR,Very Likely
18-25,Pune,Sweet,2,6,4,Smooth,3: Medium (like a milkshake),"Fruity, Berries, Chocolate, Pina Colada",150-200 INR,Neutral
18-25,Pune,Sweet,4,7,7,Smooth,3: Medium (like a milkshake),Pina Colada,200-250 INR,Neutral
26-35,Pune ,Savoury,5,4,4,Smooth,2: Thin (like fruit juice),"Fruity, Chocolate",150-200 INR,Neutral
26-35,Pune ,Sweet,3,5,1,"Thick, Smooth",3: Medium (like a milkshake),"Fruity, Berries, Pina Colada, Green veggies",200-250 INR,Very Likely
26-35,Mumbai ,Sweet,3,2,3,Smooth,4: Thick (like yogurt),Berries,200-250 INR,Likely
56 and above,Bhopal ,Sweet,3,2,1,"Grainy, Thick",3: Medium (like a milkshake),"Fruity, Berries, Chocolate, Oregano",200-250 INR,Unlikely
26-35,Mumbai,Savoury,2,5,3,Smooth,2: Thin (like fruit juice),Fruity,150-200 INR,Likely
56 and above,Mumbai ,Sweet,5,4,1,Smooth,3: Medium (like a milkshake),Berries,150-200 INR,Likely
36-45,Kanpur,Sweet,7,10,5,Smooth,1: Very thin (like water),"Green veggies, Fruity, Oats, Coffee",200-250 INR,Neutral
18-25,Jodhpur,Savoury,5,2,1,Grainy,2: Thin (like fruit juice),"Chocolate, Coffee, Fruity, Mango, Oats, Dryfruits",150-200 INR,Likely
56 and above,Jodhpur,Sweet,8,2,3,Thick,3: Medium (like a milkshake),"Banana, Coffee, Green veggies",250-300 INR,Likely
36-45,Pune,Sweet,5,5,2,Smooth,3: Medium (like a milkshake),"Oats, Dryfruits, Chocolate, Mango, Oregano, Green veggies, Pina Colada, Berries, Fruity, Coffee, Banana",200-250 INR,Unlikely
Under 18,Chennai,Savoury,4,8,5,Smooth,2: Thin (like fruit juice),"Fruity, Berries, Pina Colada, Mango, Coffee, Green veggies, Oregano",250-300 INR,Neutral
Under 18,Nagpur,Sweet,9,7,4,Gummy,5: Very thick (like a frozen smoothie you eat with a spoon),Dryfruits,350-400 INR,Likely
36-45,Lucknow,Sweet,1,8,4,Smooth,4: Thick (like yogurt),"Fruity, Green veggies, Oregano, Chocolate, Dryfruits, Mango, Banana",250-300 INR,Unlikely
Under 18,Kolkata,Savoury,8,1,3,Gummy,5: Very thick (like a frozen smoothie you eat with a spoon),"Berries, Pina Colada",350-400 INR,Very Likely
36-45,Pune,Savoury,7,8,1,Gummy,5: Very thick (like a frozen smoothie you eat with a spoon),"Coffee, Fruity, Oats, Mango, Banana, Green veggies, Dryfruits, Berries, Oregano, Chocolate, Pina Colada",200-250 INR,Unlikely
46-55,Indore,Sweet,1,3,3,Thick,5: Very thick (like a frozen smoothie you eat with a spoon),"Chocolate, Fruity, Oats, Green veggies, Berries, Coffee",250-300 INR,Unlikely
26-35,Indore,Sweet,2,4,5,Gummy,2: Thin (like fruit juice),"Berries, Coffee, Dryfruits, Oregano, Pina Colada, Banana",300-350 INR,Unlikely
36-45,Ahmedabad,Savoury,6,6,1,Grainy,4: Thick (like yogurt),"Dryfruits, Mango, Green veggies, Oats, Oregano, Chocolate, Banana",300-350 INR,Very Unlikely
18-25,Chandigarh,Sweet,7,3,3,Thick,3: Medium (like a milkshake),"Dryfruits, Berries, Oregano, Pina Colada",300-350 INR,Unlikely
56 and above,Chennai,Savoury,10,3,3,Thick,5: Very thick (like a frozen smoothie you eat with a spoon),"Chocolate, Mango, Banana",250-300 INR,Very Unlikely
26-35,Jodhpur,Sweet,1,4,5,Thick,3: Medium (like a milkshake),"Mango, Green veggies",200-250 INR,Neutral
56 and above,Jodhpur,Sweet,5,7,5,Thick,1: Very thin (like water),"Oregano, Coffee",200-250 INR,Very Unlikely
Under 18,Nashik,Sweet,10,10,4,Grainy,4: Thick (like yogurt),"Banana, Chocolate, Oregano, Dryfruits, Berries",250-300 INR,Very Unlikely
46-55,Baroda,Sweet,5,5,5,Smooth,3: Medium (like a milkshake),"Fruity, Berries, Coffee, Chocolate",300-350 INR,Unlikely
Under 18,Patna,Sweet,8,6,4,Thick,1: Very thin (like water),"Coffee, Green veggies, Dryfruits, Oats, Chocolate, Pina Colada, Banana, Berries, Fruity",350-400 INR,Unlikely
36-45,Bangalore,Savoury,6,2,4,Smooth,5: Very thick (like a frozen smoothie you eat with a spoon),"Oregano, Mango, Green veggies, Fruity, Berries, Chocolate, Coffee, Oats, Dryfruits, Banana, Pina Colada",300-350 INR,Likely
