Location,Review,Flavor
India,"I'm so glad I ordered these. They taste great!
I love how diverse flavours are available to make the morning meal tasty and healthy.
My search for healthy and tasty smoothies in the market ends with Smart- O Bite smoothies.
1. Easy to make and easy to carry
2. Diverse flavours
3. Real and healthy ingredients
4. Add any fruits of our choice
5. Super tasty
6. Worth the money

Thumbs up for the great product!!!",Berries
India,Nice flavour & easy to prepare,Berries
India,Very nice product. Easy to make. Healthy and tasty. When additional fruit pulp is added it becomes more tasty. Value for money as healthy and easily making product is available for this price. Alternative to traditional morning drinks.,Berries
India,"My rating would be -
Berry>Orange>chocolate>iced coffee
Berry just tastes divine.
Orange is good too
Chocolate - I can drink but won't buy again
Iced coffee - can't drink, won't drink (tastes weird)

Next time I think I'll just buy the ones which have Berry flavour instead of the assorted one.

My only qualm is that it's not as filling. For me it was almost the same as drinking flavoured, viscous water.",Berries
India,"I found them on Instagram and had a chat but I was very scared because they will ship from Maharashtra, the Covid den. But I took a chance and ordered and WOW...My breakfast problem is sorted forever. All the flavours are awesome. Making the smoothie is so simple, I add a banana to it and the output is like a restaurant smoothie. Well done guys!!! Awesome invention. All the best.",Berries
India,"Oats are raw, taste is not good",Berries
India,"My first time trying Smart'O bite smoothie mix and now it has become my morning ritual, starting my day with blending the mix with banana and milk and it leaves me feeling full for hours.
Full on value for money and amazing flavour mixes. A must try in my opinion.",Berries
India,"I liked the taste, but when gone through ingredients, plzz never ever buy this,, it contains many chemicals which are not healthy and damages our internal system, many people buy this because it is easy to use!!!!!! Beware!!!!!!!!!!",Berries
India,They are quite perfect and I love them...,Berries
India,Very good flavours are usually mix this with my protein and microwave it for five minutes and it almost become is like a cake taste amazing,Berries
India,I was looking for a healthy breakfast and snack product when i came across this product. The variety in flavors and the product quality is up to mark and it is good appetizer. I love my purchase and will buy it in future as well.,Berries
India,I personally liked the berries and basil flavour and i hate the orange and dates. Other two that is choco almond and iced tea and ok ok,Berries
India,"The Smoothies are great. They taste excellent and they're quite filling.
They help Fight of cravings when on a diet.
It's also good at keeping those pangs for desserts at bay.
The flavours are yummy too all of them.
Just add milk it's a real super food!!!!!",Berries
India,"Tried for first time on a recommendation from a friend, berries and orange are really good. 1 glass of this drink in the morning is really fulfilling.
But Iced coffee feels like something's missing though.
Very easy to make. Definitely recommended.",Berries
India,"Tasty concept of oats smoothie. It's quite healthy too and flavours are a mix of fruit spices and chocolate. Quite reasonable, 1 pack is good enough for breakfast. It's easy to make too takes about 2min",Berries
India,Worth it! Keeps your stomach full. Reduces ur stomach craving and hunger pangs. Bought it for the 2nd time. Worth every penny,Berries
India,"A good late night healthy drink for student. Easy to make, taste good and healthy too.
Even handy to carry while travelling.",Berries
India,"As much as the packaging is cute, the taste is delicious as well. Loved them. Flavourful!!",Berries
India,"Very delicious recipe for instant smoothie!
Its yummy, healthy, tummy filling and worth buying!",Berries
India,It tastes really good and Best for breakfast or mid night snacks.,Berries
India,"Amazing taste, filling, great food replacement drink. I am definitely ordering again",Berries
India,Liked flavours and taste. Varities helping to ensure daily protein shake is enjoyable,Berries
India,Wort buying. Love the taste of smoothies. Lal flavours were so tasty,Berries
India,"Hard to believe that i placed an order on 18th and received a product manufactured on 16th June 2021.
MRP printed too on top of the packet. SCANDAL !!!!- printed sticker added on top of the pkg ... VERY SKETCHY !!!!",Berries
India,They are too good. Must try .,Berries
India,Flavor. And it's easy to prepare,Berries
India,Good in taste and nutritious too,Berries
India,Good product.... Happy....with purchase,Berries
India,Great flavours.. Great pick!!,Berries
India,"Good taste, nice to serve",Berries
India,It's really tasty.,Berries
India,"Taste not upto the mark.
Asked for assorted flavors, but got single flavour. Seller not interested in correcting the mistake.",Berries
India,Did not like the product. It's not tasty. after drinking it I really felt like puking!,Berries
India,It has no any ingredients inside.,Berries
India,We were on a look out for a quick and healthy breakfast alternative. We found these oat smoothies on Amazon and decided to try them out. I should say blend them with milk and they are just amazing. All the flavours are nice. I personally loved the chocolate flavour the most. But do give it a try you will love them for sure.,Berries
India,"Love smoothies. They're great substitutes for a healthy meal. However, struggled a lot for smoothies without added sugars. I'm glad I found smartobite! Started with Berries and basil! No wonder that flavour is their bestseller. It's easy to make, no added sugars, delicious and very affordable. They also give ideas to tweak your smoothie to make it more delicious. Received my package within 3days and we'll packed笍",Berries
India,"Great taste and flavours. Quite filling. I blended it with a banana, was full for hours. Very affordable price too.",Berries
India,"The smoothies are ready to use, simple to mix, yummy & satiating (keeps you full for couple of hours). I sometimes simply mix with milk using a spoon (when in a hurry) though then I have to eat the rest over dried oats. I like the product though not entirely sure of its nutritive value as some preservative is still there. Also it claims to be sugar free but appears to be mildly sweetened.",Berries
India,"Value for money, excellent taste.",Berries
India,The healthiest and tastiest option for breakfast,Berries
